Epinephelus fuscoguttatus,68
Epinephelus guttatus,61
Epinephelus itajara,87
Epinephelus labriformis,43
Epinephelus maculatus,56
Epinephelus malabaricus,62
Epinephelus marginatus,85
Epinephelus merra,55
Epinephelus morio,56
Epinephelus spilotoceps,32
Epinephelus striatus,73
Epinephelus summana,29
Epinephelus tauvina,52
Epinephelus tukula,66
Equetus punctatus,58
Esox lucius,38
Etelis carbunculus,38
Etelis coruscans,37
Eurypegasus draconis,61
Eviota guttata,34
Evistias acutirostris,52
Exallias brevis,59
Haemulon aurolineatum,50
Haemulon carbonarium,34
Haemulon chrysargyreum,42
Haemulon flavolineatum,78
Haemulon sciurus,68
Halicampus macrorhynchus,54
Halichoeres argus,31
Halichoeres biocellatus,51
Halichoeres bivittatus,69
Halichoeres chloropterus,49
Halichoeres chrysus,58
Halichoeres garnoti,70
Halichoeres hartzfeldii,36
Halichoeres hortulanus,82
Halichoeres maculipinna,57
Halichoeres marginatus,36
Halichoeres melanurus,55
Halichoeres nebulosus,63
Halichoeres prosopeion,37
Halichoeres radiatus,76
Halichoeres scapularis,37
Halichoeres trimaculatus,32
Halophryne diemensis,31
Hemigymnus fasciatus,63
Hemigymnus melapterus,61
Hemitaurichthys polylepis,70
Heniochus acuminatus,94
Heniochus chrysostomus,60
Heniochus diphreutes,53
Heniochus monoceros,72
Heniochus singularius,35
Heniochus varius,54
Heteroconger hassi,65
Heterodontus galeatus,37
Heterodontus portusjacksoni,51
Heterodontus zebra,29
Heteropriacanthus cruentatus,55
Hippocampus erectus,77
Hippocampus reidi,32
Histrio histrio,30
Holacanthus bermudensis,49
Holacanthus ciliaris,121
Holacanthus tricolor,89
Holocentrus rufus,43
Hologymnosus doliatus,56
Hoplolatilus starcki,48
Hypoplectrodes maccullochi,53
Hypoplectrus indigo,39
Hypoplectrus puella,48
Hypoplectrus unicolor,35
Iniistius aneitensis,47
Iniistius pavo,61
Inimicus didactylus,52
Iriatherina werneri,50
Istigobius decoratus,53
Istiophorus platypterus,75
Isurus oxyrinchus,29
Kajikia audax,44
Katsuwonus pelamis,59
Kuhlia mugil,47
Kuhlia rupestris,32
Kyphosus bigibbus,29
Kyphosus cinerascens,32
Kyphosus sectatrix,66
Kyphosus vaigiensis,52
Labracinus cyclophthalmus,29
Labrichthys unilineatus,56
Labrisomus nuchipinnis,46
Labroides dimidiatus,73
Labropsis australis,35
Labrus bergylta,34
Lachnolaimus maximus,74
Lactophrys bicaudalis,72
Lactophrys trigonus,39
Lactophrys triqueter,58
Lactoria cornuta,69
Lactoria fornasini,54
Lagocephalus sceleratus,51
Lampris guttatus,56
Lethrinus erythracanthus,63
Lethrinus harak,32
Lethrinus microdon,29
Lethrinus nebulosus,52
Lobotes surinamensis,70
Lubricogobius exiguus,51
Lutjanus analis,79
Lutjanus apodus,72
Lutjanus argentimaculatus,35
Lutjanus argentiventris,36
Lutjanus bengalensis,43
Lutjanus biguttatus,36
Lutjanus bohar,58
Lutjanus campechanus,58
Lutjanus carponotatus,30
Lutjanus cyanopterus,67
Lutjanus decussatus,39
Lutjanus ehrenbergii,34
Lutjanus fulviflamma,49
Lutjanus fulvus,34
Lutjanus gibbus,66
Lutjanus griseus,83
Lutjanus jocu,46
Lutjanus kasmira,81
Lutjanus mahogoni,67
Lutjanus quinquelineatus,37
Lutjanus sebae,57
Lutjanus synagris,53
Maccullochella peelii,37
Macolor macularis,74
Macolor niger,63
Macropharyngodon choati,33
Macropharyngodon meleagris,57
Macropharyngodon negrosensis,55
Macropharyngodon ornatus,37
Malacanthus brevirostris,43
Malacanthus latovittatus,55
Malacanthus plumieri,34
Malacoctenus triangulatus,36
Manta birostris,118
Masturus lanceolatus,31
Megalops atlanticus,46
Meiacanthus atrodorsalis,46
Melanotaenia australis,32
Melichthys niger,73
Melichthys vidua,68
Mene maculata,48
Meuschenia hippocrepis,37
Microcanthus strigatus,56
Microspathodon chrysurus,68
Mogurnda adspersa,38
Mola mola,64
Monocentris japonica,50
Monodactylus argenteus,38
Monotaxis grandoculis,67
Mugil cephalus,32
Mulloidichthys flavolineatus,49
Mulloidichthys martinicus,30
Mulloidichthys vanicolensis,69
Mycteroperca bonaci,42
Mycteroperca tigris,41
Myrichthys breviceps,40
Myripristis adusta,54
Myripristis berndti,73
Myripristis jacobus,48
Myripristis kuntee,33
Myripristis murdjan,65
Myripristis pralinia,29
Myripristis violacea,54
Myripristis vittata,37
Naso annulatus,56
Naso brachycentron,35
Naso brevirostris,52
Naso elegans,50
Naso hexacanthus,44
Naso lituratus,64
Naso unicornis,62
Naucrates ductor,30
Negaprion brevirostris,34
Nemateleotris decora,60
Nemateleotris magnifica,90
Neoceratodus forsteri,32
Neocirrhites armatus,56
Neoglyphidodon melas,66
Neoglyphidodon nigroris,63
Neoglyphidodon oxyodon,38
Neoniphon sammara,54
Neosilurus ater,41
Notolabrus tetricus,30
Novaculichthys taeniourus,84
Novaculoides macrolepidotus,29
Odonus niger,60
Ogcocephalus cubifrons,49
Oncorhynchus mykiss,71
Ophichthus bonaparti,36
Ophthalmolepis lineolata,35
Orectolobus halei,34
Orectolobus maculatus,50
Ostorhinchus aureus,38
Ostorhinchus cyanosoma,61
Ostracion cubicus,85
Ostracion meleagris,79
Ostracion solorensis,49
Oxycheilinus bimaculatus,73
Oxycheilinus celebicus,32
Oxycheilinus digramma,34
Oxycheilinus unifasciatus,37
Oxycirrhites typus,100
Oxymonacanthus longirostris,70
Parablennius marmoreus,83
Paracaesio xanthura,36
Paracanthurus hepatus,83
Paracentropyge multifasciata,31
Parachaetodon ocellatus,53
Paracheilinus filamentosus,70
Paracheilinus flavianalis,33
Paracirrhites arcatus,75
Paracirrhites forsteri,119
Paracirrhites hemistictus,29
Paraluteres prionurus,69
Parapercis clathrata,55
Parapercis millepunctata,29
Parapercis schauinslandii,35
Parapercis snyderi,50
Parapercis xanthozona,33
Paraplesiops bleekeri,53
Paraplesiops meleagris,56
Pareques acuminatus,48
Parma microlepis,51
Parupeneus barberinoides,39
Parupeneus barberinus,52
Parupeneus crassilabris,29
Parupeneus cyclostomus,87
Parupeneus heptacanthus,48
Parupeneus macronemus,52
Parupeneus multifasciatus,34
Parupeneus spilurus,30
Parupeneus trifasciatus,32
Pataecus fronto,55
Pelates quadrilineatus,29
Pempheris oualensis,37
Pentaceropsis recurvirostris,48
Perca fluviatilis,81
Phycodurus eques,76
Phyllopteryx taeniolatus,86
Pictichromis paccagnellae,50
Platax batavianus,49
Platax orbicularis,56
Platax pinnatus,48
Platax teira,80
Plectorhinchus albovittatus,54
Plectorhinchus chaetodonoides,93
Plectorhinchus flavomaculatus,51
Plectorhinchus lineatus,91
Plectorhinchus picus,53
Plectorhinchus polytaenia,76
Plectorhinchus vittatus,80
Plectroglyphidodon dickii,45
Plectroglyphidodon lacrymatus,57
Pleurosicya micheli,58
Plotosus lineatus,58
Pomacanthus annularis,30
Pomacanthus arcuatus,121
Pomacanthus imperator,137
Pomacanthus navarchus,77
Pomacanthus paru,129
Pomacanthus semicirculatus,91
Pomacanthus sexstriatus,74
Pomacanthus xanthometopon,95
Pomacentrus alleni,48
Pomacentrus amboinensis,30
Pomacentrus auriventris,48
Pomacentrus bankanensis,53
Pomacentrus brachialis,29
Pomacentrus coelestis,33
Pomacentrus moluccensis,62
Pomacentrus pavo,36
Pomacentrus reidi,29
Pomacentrus vaiuli,35
Pomatomus saltatrix,43
Premnas biaculeatus,63
Priacanthus blochii,52
Priacanthus hamrur,33
Priolepis cincta,34
Prionace glauca,37
Prionotus ophryas,40
Pristiapogon kallopterus,32
Pseudalutarius nasicornis,47
Pseudanthias bicolor,59
Pseudanthias cooperi,35
Pseudanthias dispar,73
Pseudanthias fasciatus,46
Pseudanthias huchtii,58
Pseudanthias hypselosoma,55
Pseudanthias lori,51
Pseudanthias pascalus,54
Pseudanthias pleurotaenia,80
Pseudanthias rubrizonatus,49
Pseudanthias smithvanizi,38
Pseudanthias squamipinnis,83
Pseudanthias tuka,57
Pseudanthias ventralis,52
Pseudobalistes flavimarginatus,92
Pseudobalistes fuscus,80
Pseudocheilinus evanidus,55
Pseudocheilinus hexataenia,49
Pseudocheilinus ocellatus,54
Pseudocheilinus octotaenia,50
Pseudochromis fuscus,29
Pseudodax moluccanus,53
Pseudojuloides cerasinus,61
Pseudupeneus maculatus,37
Pteragogus cryptus,48
Pteragogus enneacanthus,36
Ptereleotris evides,60
Ptereleotris zebra,48
Pterocaesio tile,38
Pterois antennata,76
Pterois lunulata,53
Pterois miles,47
Pterois radiata,67
Pterois volitans,144
Pterosynchiropus splendidus,54
Puntius conchonius,53
Pygoplites diacanthus,123
Rachycentron canadum,61
Ranzania laevis,30
Rastrelliger kanagurta,52
Rhabdosargus sarba,53
Rhina ancylostoma,39
Rhincodon typus,140
Rhinecanthus aculeatus,91
Rhinecanthus rectangulus,63
Rhinecanthus verrucosus,49
Rhinomuraena quaesita,80
Rhinopias eschmeyeri,71
Rhinopias frondosa,34
Rhinoptera bonasus,36
Rhizoprionodon terraenovae,40
Rhynchobatus australiae,34
Rhynchostracion nasus,31
Richardsonichthys leucogaster,31
Rocio octofasciata,47
Rypticus saponaceus,30
Salarias ramosus,31
Salmo salar,70
Salmo trutta,67
Salvelinus fontinalis,79
Sargocentron caudimaculatum,73
Sargocentron cornutum,35
Sargocentron diadema,58
Sargocentron spiniferum,101
Scarus altipinnis,57
Scarus chameleon,31
Scarus coeruleus,37
Scarus flavipectoralis,35
Scarus forsteni,34
Scarus frenatus,66
Scarus ghobban,70
Scarus guacamaia,38
Scarus iseri,34
Scarus niger,69
Scarus oviceps,30
Scarus psittacus,53
Scarus quoyi,32
Scarus rubroviolaceus,64
Scarus schlegeli,52
Scarus taeniopterus,63
Scarus tricolor,35
Scarus vetula,63
Scatophagus argus,64
Scleropages jardinii,59
Scolopsis affinis,35
Scolopsis bilineata,56
Scolopsis vosmeri,56
Scomberoides commersonnianus,32
Scorpaena brasiliensis,55
Scorpaena plumieri,72
Scorpis aequipinnis,30
Sebastapistes cyanostigma,45
Selenotoca multifasciata,49
Seriola dumerili,45
Seriola rivoliana,73
Serranocirrhitus latus,59
Serranus baldwini,37
Serranus tigrinus,46
Sicyopterus lagocephalus,37
Siganus doliatus,51
Siganus punctatus,32
Siganus stellatus,49
Siganus unimaculatus,66
Siganus virgatus,62
Siganus vulpinus,62
Signigobius biocellatus,68
Solenostomus halimeda,54
Sparisoma aurofrenatum,93
Sparisoma chrysopterum,49
Sparisoma radians,34
Sparisoma rubripinne,45
Sparisoma viride,111
Sphaeramia nematoptera,81
Sphoeroides spengleri,43
Sphyraena barracuda,97
Sphyraena qenie,64
Sphyrna lewini,108
Sphyrna mokarran,50
Sphyrna tiburo,29
Stegastes fasciolatus,29
Stegastes leucostictus,44
Stegastes nigricans,29
Stegastes partitus,40
Stegastes planifrons,37
Stegastes variabilis,29
Stegostoma fasciatum,39
Stephanolepis hispidus,33
Stethojulis bandanensis,58
Stonogobiops xanthorhinica,53
Sufflamen bursa,71
Sufflamen chrysopterum,57
Symphorichthys spilurus,63
Synanceia verrucosa,40
Synodus intermedius,41
Synodus variegatus,34
Taeniamia fucata,30
Taenianotus triacanthus,39
Taeniura lymma,115
Taeniurops meyeni,53
Tetractenos glaber,48
Thalassoma amblycephalum,55
Thalassoma bifasciatum,80
Thalassoma hardwicke,64
Thalassoma jansenii,48
Thalassoma lucasanum,29
Thalassoma lunare,71
Thalassoma lutescens,63
Thalassoma purpureum,50
Thalassoma quinquevittatum,36
Thalassoma trilobatum,38
Thunnus albacares,45
Tilodon sexfasciatus,34
Tinca tinca,57
Toxotes chatareus,54
Toxotes jaculatrix,55
Trachichthys australis,32
Trachinotus falcatus,34
Triaenodon obesus,53
Trimma benjamini,29
Trygonoptera testacea,38
Trygonorrhina fasciata,55
Tylosurus crocodilus,37
Upeneichthys lineatus,30
Upeneus tragula,52
Urobatis jamaicensis,39
Valenciennea helsdingenii,51
Valenciennea puellaris,56
Valenciennea strigata,59
Valenciennea wardii,32
Variola albimarginata,47
Variola louti,34
Wetmorella nigropinnata,50
Xanthichthys auromarginatus,54
Xanthichthys caeruleolineatus,38
Xiphophorus hellerii,54
Xyrichtys splendens,48
Zanclus cornutus,105
Zebrasoma desjardinii,59
Zebrasoma scopas,50
